"ID","Type","SKU","Name","Slug","Published","Is featured?","Visibility in catalog","Short description","Description","Tax status","Tax class","In stock?","Stock","Regular price","Sale price","Categories","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position"
,"simple","10002","سرویس 30 پارچه پردیس طرح کیاسان 2001  طلاییB ","سرویس-30-پارچه-پردیس-طرح-کیاسان-2001-طلاییb-","1","0","visible","سرویس 30 پارچه پردیس طرح کیاسان 2001  طلاییB ","سرویس 30 پارچه پردیس طرح کیاسان 2001  طلاییB ","taxable",,"1","1","4128000","3440000",,,,,,,,,,,"0"
,"simple","10004","سرویس 36پارچه نیوبن گل الیما سیاتل پردیس ","سرویس-36پارچه-نیوبن-گل-الیما-سیاتل-پردیس-","1","0","visible","سرویس 36پارچه نیوبن گل الیما سیاتل پردیس ","سرویس 36پارچه نیوبن گل الیما سیاتل پردیس ","taxable",,"1","1","5220000","4350000",,,,,,,,,,,"0"
,"simple","10005","قابلمه 52 ماهان درب فلزی ش 30","قابلمه-52-ماهان-درب-فلزی-ش-30","1","0","visible","قابلمه 52 ماهان درب فلزی ش 30","قابلمه 52 ماهان درب فلزی ش 30","taxable",,"1","3","4725600","3938000",,,,,,,,,,,"0"
,"simple","10006","قابلمه 45 ماهان درب فلزی ش 30","قابلمه-45-ماهان-درب-فلزی-ش-30","1","0","visible","قابلمه 45 ماهان درب فلزی ش 30","قابلمه 45 ماهان درب فلزی ش 30","taxable",,"1","1","3818400","3182000",,,,,,,,,,,"0"
,"simple","10007","قابلمه 40 ماهان درب فلزی ش 30","قابلمه-40-ماهان-درب-فلزی-ش-30","1","0","visible","قابلمه 40 ماهان درب فلزی ش 30","قابلمه 40 ماهان درب فلزی ش 30","taxable",,"1","6","2946000","2455000",,,,,,,,,,,"0"
,"simple","10008","قابلمه  ماهان 37 درب فلزی ش 30","قابلمه-ماهان-37-درب-فلزی-ش-30","1","0","visible","قابلمه  ماهان 37 درب فلزی ش 30","قابلمه  ماهان 37 درب فلزی ش 30","taxable",,"1","6","2622000","2185000",,,,,,,,,,,"0"
,"simple","10011","تابه ماهان 42 درب فلزی ش 31","تابه-ماهان-42-درب-فلزی-ش-31","1","0","visible","تابه ماهان 42 درب فلزی ش 31","تابه ماهان 42 درب فلزی ش 31","taxable",,"1","5","2514600","2095500",,,,,,,,,,,"0"
,"simple","10012","تابه 24 ماهان مانافکس   سرامیک تک دسته   ش 311","تابه-24-ماهان-مانافکس-سرامیک-تک-دسته-ش-311","1","0","visible","تابه 24 ماهان مانافکس   سرامیک تک دسته   ش 311","تابه 24 ماهان مانافکس   سرامیک تک دسته   ش 311","taxable",,"1","2","501600","418000",,,,,,,,,,,"0"
,"simple","10016","سماور ماهان مهسا ساده  6 لیتری ش 50","سماور-ماهان-مهسا-ساده-6-لیتری-ش-50","1","0","visible","سماور ماهان مهسا ساده  6 لیتری ش 50","سماور ماهان مهسا ساده  6 لیتری ش 50","taxable",,"1","1","7866000","6555000",,,,,,,,,,,"0"
,"simple","10017","سماور ماهان صدفی 10 لیتری ش 50","سماور-ماهان-صدفی-10-لیتری-ش-50","1","0","visible","سماور ماهان صدفی 10 لیتری ش 50","سماور ماهان صدفی 10 لیتری ش 50","taxable",,"1","6","9504000","7920000",,,,,,,,,,,"0"
,"simple","10018","سماور ماهان نسترن ساده 6 لیتری ش 50","سماور-ماهان-نسترن-ساده-6-لیتری-ش-50","1","0","visible","سماور ماهان نسترن ساده 6 لیتری ش 50","سماور ماهان نسترن ساده 6 لیتری ش 50","taxable",,"1","1","8184000","6820000",,,,,,,,,,,"0"
,"simple","10020","سماور ماهان 10 لیتری مدل نادیا ساده  ش 50","سماور-ماهان-10-لیتری-مدل-نادیا-ساده-ش-50","1","0","visible","سماور ماهان 10 لیتری مدل نادیا ساده  ش 50","سماور ماهان 10 لیتری مدل نادیا ساده  ش 50","taxable",,"1","1","7392000","6160000",,,,,,,,,,,"0"
,"simple","10023","تابه 26 ماهان مانافکس دو دسته درب پیرکس  ش 311","تابه-26-ماهان-مانافکس-دو-دسته-درب-پیرکس-ش-311","1","0","visible","تابه 26 ماهان مانافکس دو دسته درب پیرکس  ش 311","تابه 26 ماهان مانافکس دو دسته درب پیرکس  ش 311","taxable",,"1","8","805200","671000",,,,,,,,,,,"0"
,"simple","10024","تابه 40 ماهان درب فلزی ش 31","تابه-40-ماهان-درب-فلزی-ش-31","1","0","visible","تابه 40 ماهان درب فلزی ش 31","تابه 40 ماهان درب فلزی ش 31","taxable",,"1","14","2238000","1865000",,,,,,,,,,,"0"
,"simple","10025","تابه 37 ماهان درب فلزی ش 31","تابه-37-ماهان-درب-فلزی-ش-31","1","0","visible","تابه 37 ماهان درب فلزی ش 31","تابه 37 ماهان درب فلزی ش 31","taxable",,"1","16","2034000","1695000",,,,,,,,,,,"0"
,"simple","10026","بشقاب تخت 20فیوچر لب طلا ش 60","بشقاب-تخت-20فیوچر-لب-طلا-ش-60","1","0","visible","بشقاب تخت 20فیوچر لب طلا ش 60","بشقاب تخت 20فیوچر لب طلا ش 60","taxable",,"1","7","320400","267000",,,,,,,,,,,"0"
,"simple","10027","بشقاب گود 21 فیوچر لب طلا ش 60","بشقاب-گود-21-فیوچر-لب-طلا-ش-60","1","0","visible","بشقاب گود 21 فیوچر لب طلا ش 60","بشقاب گود 21 فیوچر لب طلا ش 60","taxable",,"1","26","315600","263000",,,,,,,,,,,"0"
,"simple","10028","دیس 34فیوچر لب طلا ش 60","دیس-34فیوچر-لب-طلا-ش-60","1","0","visible","دیس 34فیوچر لب طلا ش 60","دیس 34فیوچر لب طلا ش 60","taxable",,"1","4","294000","245000",,,,,,,,,,,"0"
,"simple","10029","دیس 38فیوچر لب طلا ش 60","دیس-38فیوچر-لب-طلا-ش-60","1","0","visible","دیس 38فیوچر لب طلا ش 60","دیس 38فیوچر لب طلا ش 60","taxable",,"1","1","290400","242000",,,,,,,,,,,"0"
,"simple","10030","کاسه 13فیوچر لب طلا ش 60","کاسه-13فیوچر-لب-طلا-ش-60","1","0","visible","کاسه 13فیوچر لب طلا ش 60","کاسه 13فیوچر لب طلا ش 60","taxable",,"1","1","321600","268000",,,,,,,,,,,"0"
,"simple","10031","کاسه 25فیوچرلب طلا ش 60","کاسه-25فیوچرلب-طلا-ش-60","1","0","visible","کاسه 25فیوچرلب طلا ش 60","کاسه 25فیوچرلب طلا ش 60","taxable",,"1","8","187200","156000",,,,,,,,,,,"0"
,"simple","10032","قندان سرویسی فیوچر لب طلا ش 60","قندان-سرویسی-فیوچر-لب-طلا-ش-60","1","0","visible","قندان سرویسی فیوچر لب طلا ش 60","قندان سرویسی فیوچر لب طلا ش 60","taxable",,"1","9","62400","52000",,,,,,,,,,,"0"
,"simple","10034","قوری 6 کپ تقدیس لب طلا ش 70","قوری-6-کپ-تقدیس-لب-طلا-ش-70","1","0","visible","قوری 6 کپ تقدیس لب طلا ش 70","قوری 6 کپ تقدیس لب طلا ش 70","taxable",,"1","2","162000","135000",,,,,,,,,,,"0"
,"simple","10035","قوری 8 کپ تقدیس لب طلا ش 70","قوری-8-کپ-تقدیس-لب-طلا-ش-70","1","0","visible","قوری 8 کپ تقدیس لب طلا ش 70","قوری 8 کپ تقدیس لب طلا ش 70","taxable",,"1","1","194400","162000",,,,,,,,,,,"0"
,"simple","10040","س آرکوپال 26 پ 4 گوش مورانو ط کلاسیک اونیکس صورتی ش 100","س-آرکوپال-26-پ-4-گوش-مورانو-ط-کلاسیک-اونیکس-صورتی-ش-100","1","0","visible","س آرکوپال 26 پ 4 گوش مورانو ط کلاسیک اونیکس صورتی ش 100","س آرکوپال 26 پ 4 گوش مورانو ط کلاسیک اونیکس صورتی ش 100","taxable",,"1","2","1080000","900000",,,,,,,,,,,"0"
,"simple","10041","سرویس اوپال  26 پارچه 4 گوش  لب طلا      ش 100","سرویس-اوپال-26-پارچه-4-گوش-لب-طلا-ش-100","1","0","visible","سرویس اوپال  26 پارچه 4 گوش  لب طلا      ش 100","سرویس اوپال  26 پارچه 4 گوش  لب طلا      ش 100","taxable",,"1","1","2148000","1790000",,,,,,,,,,,"0"
,"simple","10042","پلو خوری گلدن اوپال گرد لب طلا دیوالی ش 140","پلو-خوری-گلدن-اوپال-گرد-لب-طلا-دیوالی-ش-140","1","0","visible","پلو خوری گلدن اوپال گرد لب طلا دیوالی ش 140","پلو خوری گلدن اوپال گرد لب طلا دیوالی ش 140","taxable",,"1","7","712800","594000",,,,,,,,,,,"0"
,"simple","10043","خورشت خوری گلدن اوپال گرد لب طلا دیوالی ش 140","خورشت-خوری-گلدن-اوپال-گرد-لب-طلا-دیوالی-ش-140","1","0","visible","خورشت خوری گلدن اوپال گرد لب طلا دیوالی ش 140","خورشت خوری گلدن اوپال گرد لب طلا دیوالی ش 140","taxable",,"1","11","657600","548000",,,,,,,,,,,"0"
,"simple","10046","آون توستر مک تک تمام تاچ  ق","آون-توستر-مک-تک-تمام-تاچ-ق","1","0","visible","آون توستر مک تک تمام تاچ  ق","آون توستر مک تک تمام تاچ  ق","taxable",,"1","5","5760000","4800000",,,,,,,,,,,"0"
,"simple","10054","جاپیاز کالسکه 2 طبقه ش 180","جاپیاز-کالسکه-2-طبقه-ش-180","1","0","visible","جاپیاز کالسکه 2 طبقه ش 180","جاپیاز کالسکه 2 طبقه ش 180","taxable",,"1","1","1140000","950000",,,,,,,,,,,"0"
,"simple","10063","سینی نگار 300 طلایی  ش 200","سینی-نگار-300-طلایی-ش-200","1","0","visible","سینی نگار 300 طلایی  ش 200","سینی نگار 300 طلایی  ش 200","taxable",,"1","2","1008000","840000",,,,,,,,,,,"0"
,"simple","10065","س آرکوپال 26 پ 4 گوش کویین ماریسا گلد صورتی درجه1 ش 100","س-آرکوپال-26-پ-4-گوش-کویین-ماریسا-گلد-صورتی-درجه1-ش-100","1","0","visible","س آرکوپال 26 پ 4 گوش کویین ماریسا گلد صورتی درجه1 ش 100","س آرکوپال 26 پ 4 گوش کویین ماریسا گلد صورتی درجه1 ش 100","taxable",,"1","1","1260000","1050000",,,,,,,,,,,"0"
,"simple","10066","تابه26 وانیا  تک دسته ماهان   ش 0","تابه26-وانیا-تک-دسته-ماهان-ش-0","1","0","visible","تابه26 وانیا  تک دسته ماهان   ش 0","تابه26 وانیا  تک دسته ماهان   ش 0","taxable",,"1","11","920400","767000",,,,,,,,,,,"0"
,"simple","10067","سرویس  90 پارچه الهام طلا کلاسیک تقدیس ش 10","سرویس-90-پارچه-الهام-طلا-کلاسیک-تقدیس-ش-10","1","0","visible","سرویس  90 پارچه الهام طلا کلاسیک تقدیس ش 10","سرویس  90 پارچه الهام طلا کلاسیک تقدیس ش 10","taxable",,"1","1","5580000","4650000",,,,,,,,,,,"0"
,"simple","10070","کاسه 25 خط طلا قالب کلاسیک  تقدیس  ش 210","کاسه-25-خط-طلا-قالب-کلاسیک-تقدیس-ش-210","1","0","visible","کاسه 25 خط طلا قالب کلاسیک  تقدیس  ش 210","کاسه 25 خط طلا قالب کلاسیک  تقدیس  ش 210","taxable",,"1","8","158400","132000",,,,,,,,,,,"0"
,"simple","10071","کاسه 6/5 گرد خط طلا قالب کلاسیک  تقدیس  ش 210","کاسه-6/5-گرد-خط-طلا-قالب-کلاسیک-تقدیس-ش-210","1","0","visible","کاسه 6/5 گرد خط طلا قالب کلاسیک  تقدیس  ش 210","کاسه 6/5 گرد خط طلا قالب کلاسیک  تقدیس  ش 210","taxable",,"1","2","304800","254000",,,,,,,,,,,"0"
,"simple","10073","دیس خط طلا 36 قالب کلاسیک تقدیس  ش 210","دیس-خط-طلا-36-قالب-کلاسیک-تقدیس-ش-210","1","0","visible","دیس خط طلا 36 قالب کلاسیک تقدیس  ش 210","دیس خط طلا 36 قالب کلاسیک تقدیس  ش 210","taxable",,"1","1","204000","170000",,,,,,,,,,,"0"
,"simple","10074","سرویس  قاشق و چنگال 38 پارچه ROMANZO ش 161","سرویس-قاشق-و-چنگال-38-پارچه-romanzo-ش-161","1","0","visible","سرویس  قاشق و چنگال 38 پارچه ROMANZO ش 161","سرویس  قاشق و چنگال 38 پارچه ROMANZO ش 161","taxable",,"1","1","1452000","1210000",,,,,,,,,,,"0"
,"simple","10075","دیس گلدن اوپال گرد لب طلا دیوالی ش 140","دیس-گلدن-اوپال-گرد-لب-طلا-دیوالی-ش-140","1","0","visible","دیس گلدن اوپال گرد لب طلا دیوالی ش 140","دیس گلدن اوپال گرد لب طلا دیوالی ش 140","taxable",,"1","33","362400","302000",,,,,,,,,,,"0"
,"simple","10080","سرویس 26 پارچه دیوالی فرانسه آرکوپال حاشیه طوسی  ش 220","سرویس-26-پارچه-دیوالی-فرانسه-آرکوپال-حاشیه-طوسی-ش-220","1","0","visible","سرویس 26 پارچه دیوالی فرانسه آرکوپال حاشیه طوسی  ش 220","سرویس 26 پارچه دیوالی فرانسه آرکوپال حاشیه طوسی  ش 220","taxable",,"1","1","4080000","3400000",,,,,,,,,,,"0"
,"simple","10082","کاسه 13 کاپرینا کلاسیک  ش 230","کاسه-13-کاپرینا-کلاسیک-ش-230","1","0","visible","کاسه 13 کاپرینا کلاسیک  ش 230","کاسه 13 کاپرینا کلاسیک  ش 230","taxable",,"1","7","283200","236000",,,,,,,,,,,"0"
,"simple","10083","کاسه 6/5 کاپرینا کلاسیک  ش 230","کاسه-6/5-کاپرینا-کلاسیک-ش-230","1","0","visible","کاسه 6/5 کاپرینا کلاسیک  ش 230","کاسه 6/5 کاپرینا کلاسیک  ش 230","taxable",,"1","1","386400","322000",,,,,,,,,,,"0"
,"simple","10084","دیس 36 کاپرینا کلاسیک  ش 230","دیس-36-کاپرینا-کلاسیک-ش-230","1","0","visible","دیس 36 کاپرینا کلاسیک  ش 230","دیس 36 کاپرینا کلاسیک  ش 230","taxable",,"1","2","286800","239000",,,,,,,,,,,"0"
,"simple","10085","سوپ خوری کاپرینا کلاسیک  ش 230","سوپ-خوری-کاپرینا-کلاسیک-ش-230","1","0","visible","سوپ خوری کاپرینا کلاسیک  ش 230","سوپ خوری کاپرینا کلاسیک  ش 230","taxable",,"1","1","390000","325000",,,,,,,,,,,"0"
,"simple","10086","قندان کاپرینا گرد  ش 230","قندان-کاپرینا-گرد-ش-230","1","0","visible","قندان کاپرینا گرد  ش 230","قندان کاپرینا گرد  ش 230","taxable",,"1","9","52800","44000",,,,,,,,,,,"0"
,"simple","10087","نمک پاش کاپرینا گرد   ش 230","نمک-پاش-کاپرینا-گرد-ش-230","1","0","visible","نمک پاش کاپرینا گرد   ش 230","نمک پاش کاپرینا گرد   ش 230","taxable",,"1","25","20400","17000",,,,,,,,,,,"0"
,"simple","10088","سس خوری کاپرینا  ش 230","سس-خوری-کاپرینا-ش-230","1","0","visible","سس خوری کاپرینا  ش 230","سس خوری کاپرینا  ش 230","taxable",,"1","13","54000","45000",,,,,,,,,,,"0"
,"simple","10092","تخت 24 سناتور  خط طلایی  (5 د)ش 240","تخت-24-سناتور-خط-طلایی-(5-د)ش-240","1","0","visible","تخت 24 سناتور  خط طلایی  (5 د)ش 240","تخت 24 سناتور  خط طلایی  (5 د)ش 240","taxable",,"1","17","762000","635000",,,,,,,,,,,"0"
,"simple","10094","دیس 12 سناتور خط طلایی (12ع) ش 240","دیس-12-سناتور-خط-طلایی-(12ع)-ش-240","1","0","visible","دیس 12 سناتور خط طلایی (12ع) ش 240","دیس 12 سناتور خط طلایی (12ع) ش 240","taxable",,"1","24","404400","337000",,,,,,,,,,,"0"
,"simple","10095","سس خوری  سناتور(24ع)  خط طلایی  ش 240","سس-خوری-سناتور(24ع)-خط-طلایی-ش-240","1","0","visible","سس خوری  سناتور(24ع)  خط طلایی  ش 240","سس خوری  سناتور(24ع)  خط طلایی  ش 240","taxable",,"1","31","108000","90000",,,,,,,,,,,"0"
,"simple","10096","گود 21 سناتور خط طلایی(6 د)  ش 240","گود-21-سناتور-خط-طلایی(6-د)-ش-240","1","0","visible","گود 21 سناتور خط طلایی(6 د)  ش 240","گود 21 سناتور خط طلایی(6 د)  ش 240","taxable",,"1","5","638400","532000",,,,,,,,,,,"0"
,"simple","10097","کاسه 23 سناتور(20 ع)  خط طلایی  ش 240","کاسه-23-سناتور(20-ع)-خط-طلایی-ش-240","1","0","visible","کاسه 23 سناتور(20 ع)  خط طلایی  ش 240","کاسه 23 سناتور(20 ع)  خط طلایی  ش 240","taxable",,"1","10","348000","290000",,,,,,,,,,,"0"
,"simple","10098","تخت 21 دیپلمات  خط طلا (8 د)ش 250","تخت-21-دیپلمات-خط-طلا-(8-د)ش-250","1","0","visible","تخت 21 دیپلمات  خط طلا (8 د)ش 250","تخت 21 دیپلمات  خط طلا (8 د)ش 250","taxable",,"1","28","816000","680000",,,,,,,,,,,"0"
,"simple","10099","تخت 25 دیپلمات خط طلا  (5د)ش 250","تخت-25-دیپلمات-خط-طلا-(5د)ش-250","1","0","visible","تخت 25 دیپلمات خط طلا  (5د)ش 250","تخت 25 دیپلمات خط طلا  (5د)ش 250","taxable",,"1","5","1044000","870000",,,,,,,,,,,"0"
,"simple","10100","تخت 27 دیپلمات  خط طلا  (5 د)ش 250","تخت-27-دیپلمات-خط-طلا-(5-د)ش-250","1","0","visible","تخت 27 دیپلمات  خط طلا  (5 د)ش 250","تخت 27 دیپلمات  خط طلا  (5 د)ش 250","taxable",,"1","22","1194000","995000",,,,,,,,,,,"0"
,"simple","10101","دیس 12 دیپلمات خط طلا (12 ع) ش 250","دیس-12-دیپلمات-خط-طلا-(12-ع)-ش-250","1","0","visible","دیس 12 دیپلمات خط طلا (12 ع) ش 250","دیس 12 دیپلمات خط طلا (12 ع) ش 250","taxable",,"1","32","571200","476000",,,,,,,,,,,"0"
,"simple","10102","دیس 14 دیپلمات خط طلا  (12 ع)ش 250","دیس-14-دیپلمات-خط-طلا-(12-ع)ش-250","1","0","visible","دیس 14 دیپلمات خط طلا  (12 ع)ش 250","دیس 14 دیپلمات خط طلا  (12 ع)ش 250","taxable",,"1","35","756000","630000",,,,,,,,,,,"0"
,"simple","10103","دیس 36 دیپلمات خط طلا  (10 ع)ش 250","دیس-36-دیپلمات-خط-طلا-(10-ع)ش-250","1","0","visible","دیس 36 دیپلمات خط طلا  (10 ع)ش 250","دیس 36 دیپلمات خط طلا  (10 ع)ش 250","taxable",,"1","26","724800","604000",,,,,,,,,,,"0"
,"simple","10105","سس خوری دیپلمات خط طلا  (36 ع)ش 250","سس-خوری-دیپلمات-خط-طلا-(36-ع)ش-250","1","0","visible","سس خوری دیپلمات خط طلا  (36 ع)ش 250","سس خوری دیپلمات خط طلا  (36 ع)ش 250","taxable",,"1","37","187200","156000",,,,,,,,,,,"0"
,"simple","10106","سوپخوری دیپلمات  خط طلا  (8 ع )ش 250","سوپخوری-دیپلمات-خط-طلا-(8-ع-)ش-250","1","0","visible","سوپخوری دیپلمات  خط طلا  (8 ع )ش 250","سوپخوری دیپلمات  خط طلا  (8 ع )ش 250","taxable",,"1","8","1110639.5999999999","925533",,,,,,,,,,,"0"
,"simple","10107","قندان دیپلمات خط طلا (36 ع)  ش 250","قندان-دیپلمات-خط-طلا-(36-ع)-ش-250","1","0","visible","قندان دیپلمات خط طلا (36 ع)  ش 250","قندان دیپلمات خط طلا (36 ع)  ش 250","taxable",,"1","1","211200","176000",,,,,,,,,,,"0"
,"simple","10108","قوری بزرگ دیپلمات خط طلا  (18 ع)ش 250","قوری-بزرگ-دیپلمات-خط-طلا-(18-ع)ش-250","1","0","visible","قوری بزرگ دیپلمات خط طلا  (18 ع)ش 250","قوری بزرگ دیپلمات خط طلا  (18 ع)ش 250","taxable",,"1","16","440400","367000",,,,,,,,,,,"0"
,"simple","10109","گود 21 دیپلمات خط طلا (6 د) ش 250","گود-21-دیپلمات-خط-طلا-(6-د)-ش-250","1","0","visible","گود 21 دیپلمات خط طلا (6 د) ش 250","گود 21 دیپلمات خط طلا (6 د) ش 250","taxable",,"1","23","892800","744000",,,,,,,,,,,"0"
,"simple","10110","نمک پاش دیپلمات خط طلا  (60 ع)ش 250","نمک-پاش-دیپلمات-خط-طلا-(60-ع)ش-250","1","0","visible","نمک پاش دیپلمات خط طلا  (60 ع)ش 250","نمک پاش دیپلمات خط طلا  (60 ع)ش 250","taxable",,"1","11","103320","86100",,,,,,,,,,,"0"
,"simple","10111","کاسه 12دیپلمات خط طلا  (12 د)ش 250","کاسه-12دیپلمات-خط-طلا-(12-د)ش-250","1","0","visible","کاسه 12دیپلمات خط طلا  (12 د)ش 250","کاسه 12دیپلمات خط طلا  (12 د)ش 250","taxable",,"1","33","745200","621000",,,,,,,,,,,"0"
,"simple","10112","کاسه 23 دیپلمات  خط طلا  ش 250","کاسه-23-دیپلمات-خط-طلا-ش-250","1","0","visible","کاسه 23 دیپلمات  خط طلا  ش 250","کاسه 23 دیپلمات  خط طلا  ش 250","taxable",,"1","16","352800","294000",,,,,,,,,,,"0"
,"simple","10115","سرویس 25 پارچه ایروپال استیما  صورتی ش 100","سرویس-25-پارچه-ایروپال-استیما-صورتی-ش-100","1","0","visible","سرویس 25 پارچه ایروپال استیما  صورتی ش 100","سرویس 25 پارچه ایروپال استیما  صورتی ش 100","taxable",,"1","1","1260000","1050000",,,,,,,,,,,"0"
,"simple","10117","سرویس 26 پارچه دیوالی  فرانسه سفید طوسی  ش 220","سرویس-26-پارچه-دیوالی-فرانسه-سفید-طوسی-ش-220","1","0","visible","سرویس 26 پارچه دیوالی  فرانسه سفید طوسی  ش 220","سرویس 26 پارچه دیوالی  فرانسه سفید طوسی  ش 220","taxable",,"1","1","5880000","4900000",,,,,,,,,,,"0"
,"simple","10118","دیس 14 سناتور خط طلایی  ش 240","دیس-14-سناتور-خط-طلایی-ش-240","1","0","visible","دیس 14 سناتور خط طلایی  ش 240","دیس 14 سناتور خط طلایی  ش 240","taxable",,"1","16","540000","450000",,,,,,,,,,,"0"
,"simple","10119","سوپ خوری a1 خط طلایی سناتور دیپلمات  ش 240","سوپ-خوری-a1-خط-طلایی-سناتور-دیپلمات-ش-240","1","0","visible","سوپ خوری a1 خط طلایی سناتور دیپلمات  ش 240","سوپ خوری a1 خط طلایی سناتور دیپلمات  ش 240","taxable",,"1","5","786000","655000",,,,,,,,,,,"0"
,"simple","10121","فنجان قهوه سناتور a1 خط طلایی  ش 240","فنجان-قهوه-سناتور-a1-خط-طلایی-ش-240","1","0","visible","فنجان قهوه سناتور a1 خط طلایی  ش 240","فنجان قهوه سناتور a1 خط طلایی  ش 240","taxable",,"1","20","414000","345000",,,,,,,,,,,"0"
,"simple","10122","قوری بلند سناتور خط طلایی  ش 240","قوری-بلند-سناتور-خط-طلایی-ش-240","1","0","visible","قوری بلند سناتور خط طلایی  ش 240","قوری بلند سناتور خط طلایی  ش 240","taxable",,"1","29","312000","260000",,,,,,,,,,,"0"
,"simple","10001","سرویس 105 پارچه پردیس طرح کیاسان 2001  طلاییB ","سرویس-105-پارچه-پردیس-طرح-کیاسان-2001-طلاییb-","1","0","visible","سرویس 105 پارچه پردیس طرح کیاسان 2001  طلاییB ","سرویس 105 پارچه پردیس طرح کیاسان 2001  طلاییB ","taxable",,"1","2","6937200","5781000",,,,,,,,,,,"0"
